Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.54,8.62,14.51,21.77,29.94
20,4.99,9.98,16.33,24.95,34.02
25,5.44,9.98,16.78,25.4,34.93
30,5.44,9.98,16.78,25.4,34.93
35,5.44,9.98,16.78,25.4,34.93
40,5.44,9.98,16.78,25.4,34.93
45,4.99,9.53,15.88,24.04,33.11
50,4.54,9.07,14.97,22.68,31.3
55,4.54,8.16,14.06,20.87,29.03
60,4.08,7.71,12.7,19.05,26.31
65,3.63,6.8,11.34,17.24,24.04
70,3.18,6.35,10.43,15.42,21.32
75,2.72,5.44,9.07,14.06,19.05
80,2.72,4.99,8.16,12.25,17.24
85,2.27,4.54,7.26,10.89,15.42
90,2.27,4.08,6.8,9.98,13.61
